990483,Emma,SMITH,3082,1/1/18
990483,Emma,SMITH,3093,1/14/18
990483,Emma,SMITH,2977,3/18/18
990483,Emma,SMITH,3451,1/6/18
990483,Emma,SMITH,3979,1/8/18
990483,Emma,SMITH,3610,3/15/18
990483,Emma,SMITH,3283,2/10/18
990483,Emma,SMITH,3741,3/3/18
990483,Emma,SMITH,4146,3/25/18
990483,Emma,SMITH,4114,1/20/18
990483,Emma,SMITH,4123,2/24/18
990483,Emma,SMITH,4025,3/16/18
990483,Emma,SMITH,3961,1/2/18
990483,Emma,SMITH,4046,1/19/18
990483,Emma,SMITH,4145,1/9/18
315681,Benjamin,MOORE,4263,1/18/18
315681,Benjamin,MOORE,4453,3/13/18
315681,Benjamin,MOORE,4452,1/26/18
315681,Benjamin,MOORE,4440,2/1/18
315681,Benjamin,MOORE,4858,1/25/18
315681,Benjamin,MOORE,5009,3/8/18
315681,Benjamin,MOORE,5005,3/15/18
315681,Benjamin,MOORE,5550,2/5/18
315681,Benjamin,MOORE,5785,1/14/18
315681,Benjamin,MOORE,5724,1/28/18
315681,Benjamin,MOORE,5935,2/22/18
315681,Benjamin,MOORE,5926,2/23/18
315681,Benjamin,MOORE,5925,3/24/18
315681,Benjamin,MOORE,6255,1/17/18
315681,Benjamin,MOORE,6164,3/19/18
699137,Gabriel,YOUNG,6536,2/17/18
699137,Gabriel,YOUNG,6409,1/23/18
699137,Gabriel,YOUNG,5961,3/28/18
699137,Gabriel,YOUNG,6218,3/5/18
699137,Gabriel,YOUNG,6217,1/2/18
699137,Gabriel,YOUNG,6116,2/21/18
699137,Gabriel,YOUNG,5948,1/15/18
699137,Gabriel,YOUNG,5927,3/24/18
699137,Gabriel,YOUNG,5592,3/11/18
699137,Gabriel,YOUNG,5968,3/10/18
699137,Gabriel,YOUNG,6112,1/14/18
699137,Gabriel,YOUNG,6567,3/3/18
699137,Gabriel,YOUNG,6562,3/13/18
699137,Gabriel,YOUNG,6262,2/16/18
699137,Gabriel,YOUNG,6267,3/26/18
541877,Elizabeth,CARTER,6126,3/9/18
541877,Elizabeth,CARTER,6172,3/24/18
541877,Elizabeth,CARTER,6159,3/12/18
541877,Elizabeth,CARTER,6251,2/15/18
541877,Elizabeth,CARTER,6195,3/16/18
541877,Elizabeth,CARTER,6166,3/8/18
541877,Elizabeth,CARTER,6129,2/11/18
541877,Elizabeth,CARTER,6789,3/17/18
541877,Elizabeth,CARTER,6631,2/21/18
541877,Elizabeth,CARTER,6491,3/7/18
541877,Elizabeth,CARTER,6395,3/23/18
541877,Elizabeth,CARTER,7058,2/20/18
541877,Elizabeth,CARTER,7068,1/27/18
541877,Elizabeth,CARTER,6974,2/22/18
541877,Elizabeth,CARTER,6936,2/10/18
567703,Julian,ROGERS,6935,1/1/18
567703,Julian,ROGERS,6890,3/25/18
567703,Julian,ROGERS,6864,2/12/18
567703,Julian,ROGERS,6578,3/14/18
567703,Julian,ROGERS,6546,3/17/18
567703,Julian,ROGERS,6528,3/15/18
567703,Julian,ROGERS,5870,3/27/18
567703,Julian,ROGERS,5823,1/26/18
567703,Julian,ROGERS,5862,2/20/18
567703,Julian,ROGERS,5428,1/2/18
567703,Julian,ROGERS,5935,1/18/18
567703,Julian,ROGERS,6473,1/7/18
567703,Julian,ROGERS,6392,3/24/18
567703,Julian,ROGERS,6612,2/6/18
567703,Julian,ROGERS,7207,2/23/18
861176,Zoey,WATSON,6962,1/15/18
861176,Zoey,WATSON,6639,1/14/18
861176,Zoey,WATSON,6626,3/11/18
861176,Zoey,WATSON,6621,3/22/18
861176,Zoey,WATSON,6671,3/10/18
861176,Zoey,WATSON,6497,1/3/18
861176,Zoey,WATSON,6316,3/17/18
861176,Zoey,WATSON,6397,1/28/18
861176,Zoey,WATSON,6436,2/9/18
861176,Zoey,WATSON,6597,2/2/18
861176,Zoey,WATSON,7075,3/4/18
861176,Zoey,WATSON,7162,3/13/18
861176,Zoey,WATSON,7148,2/5/18
861176,Zoey,WATSON,6957,2/21/18
861176,Zoey,WATSON,7182,2/12/18
